# ROV MAP v1.1
point,date_utc,time_utc,lat,lng,depth_cm,temp_c,satellites,hdop,speed_kmph,fix_age_ms,pitch_deg,roll_deg,imu_acc
0,04/11/2026,17:30:00,34.0122986,-118.4567028,280.3,17.12,7,1.4,1.0,560,-3.7,0.1,2
1,04/11/2026,17:30:05,34.0122967,-118.4566507,258.1,17.17,11,1.1,2.1,180,3.8,1.4,2
2,04/11/2026,17:30:10,34.0123006,-118.4566008,247.8,17.21,7,1.2,1.0,420,-3.0,-4.2,3
3,04/11/2026,17:30:15,34.0123005,-118.4565485,228.0,17.24,11,1.3,1.4,560,1.8,0.7,2
4,04/11/2026,17:30:20,34.0123000,-118.4564997,225.0,17.24,10,1.2,1.5,310,-2.1,-3.5,2
5,04/11/2026,17:30:25,34.0122967,-118.4564516,219.7,17.22,9,1.4,1.3,180,-3.2,-0.9,3
6,04/11/2026,17:30:30,34.0122972,-118.4564001,219.0,17.18,7,1.4,1.7,310,-1.3,-1.6,3
7,04/11/2026,17:30:35,34.0123006,-118.4563504,234.9,17.13,9,1.1,1.9,180,1.9,-2.1,3
8,04/11/2026,17:30:40,34.0122983,-118.4563009,249.2,17.08,7,1.5,1.4,560,-3.2,-4.9,3
9,04/11/2026,17:30:45,34.0122970,-118.4562520,268.6,17.04,10,0.8,1.5,560,-1.9,-4.0,3
10,04/11/2026,17:30:50,34.0123479,-118.4567018,267.1,17.12,9,1.3,1.4,220,-2.9,-3.6,2
11,04/11/2026,17:30:55,34.0123463,-118.4566539,251.5,17.17,8,0.9,0.8,420,0.3,1.2,3
12,04/11/2026,17:31:00,34.0123486,-118.4565985,232.7,17.22,11,1.3,2.0,420,3.4,3.1,3
13,04/11/2026,17:31:05,34.0123442,-118.4565508,219.7,17.24,10,0.8,0.9,220,-0.5,-4.3,2
14,04/11/2026,17:31:10,34.0123418,-118.4564995,211.7,17.24,9,1.3,0.9,220,1.0,-3.9,3
15,04/11/2026,17:31:15,34.0123486,-118.4564492,208.2,17.22,7,1.5,2.4,420,-0.2,-2.1,2
16,04/11/2026,17:31:20,34.0123418,-118.4564013,209.5,17.19,8,1.2,1.1,560,-1.2,2.1,2
17,04/11/2026,17:31:25,34.0123471,-118.4563516,221.9,17.14,7,1.3,1.2,310,3.4,-1.6,2
18,04/11/2026,17:31:30,34.0123453,-118.4562978,235.2,17.08,8,1.3,2.1,220,2.6,3.5,2
19,04/11/2026,17:31:35,34.0123426,-118.4562501,259.9,17.04,7,1.4,1.6,220,1.6,5.0,3
20,04/11/2026,17:31:40,34.0123925,-118.4566982,257.5,17.14,9,0.8,1.0,420,-2.5,-3.3,2
21,04/11/2026,17:31:45,34.0123898,-118.4566488,242.1,17.19,7,1.5,1.0,420,2.4,2.8,3
22,04/11/2026,17:31:50,34.0123931,-118.4566005,224.6,17.23,7,1.4,2.4,420,-0.3,2.7,2
23,04/11/2026,17:31:55,34.0123918,-118.4565526,207.8,17.25,8,1.2,1.5,740,-3.0,3.6,3
24,04/11/2026,17:32:00,34.0123913,-118.4565012,202.8,17.25,8,0.7,2.1,740,1.3,0.3,2
25,04/11/2026,17:32:05,34.0123895,-118.4564470,201.9,17.23,8,0.7,1.1,560,-2.2,1.0,3
26,04/11/2026,17:32:10,34.0123904,-118.4563973,198.8,17.20,9,1.5,1.9,560,-0.7,4.6,2
27,04/11/2026,17:32:15,34.0123903,-118.4563498,207.9,17.15,10,1.4,1.8,220,-2.8,-0.3,2
28,04/11/2026,17:32:20,34.0123905,-118.4563014,227.6,17.10,11,1.1,2.0,560,-3.7,-3.4,2
29,04/11/2026,17:32:25,34.0123922,-118.4562499,249.5,17.05,7,1.1,1.8,560,0.9,-3.3,3
30,04/11/2026,17:32:30,34.0124346,-118.4566997,250.2,17.15,8,1.3,2.2,310,3.6,4.3,2
31,04/11/2026,17:32:35,34.0124377,-118.4566529,228.4,17.21,10,1.0,1.9,420,-3.6,1.9,2
32,04/11/2026,17:32:40,34.0124382,-118.4566028,217.0,17.25,9,0.8,2.2,420,-2.4,5.0,3
